period,at_risk,events,survival_prob,cluster
0,36,1,1.0,0
1,22,0,1.0,0
2,21,1,0.9545454545454546,0
3,19,0,0.9545454545454546,0
4,21,0,0.9545454545454546,0
5,17,0,0.9545454545454546,0
6,20,0,0.9545454545454546,0
7,16,1,0.9068181818181819,0
8,9,0,0.9068181818181819,0
9,11,0,0.9068181818181819,0
10,9,0,0.9068181818181819,0
11,11,0,0.9068181818181819,0
12,10,0,0.9068181818181819,0
13,11,0,0.9068181818181819,0
14,14,1,0.8243801652892562,0
15,11,0,0.8243801652892562,0
16,13,0,0.8243801652892562,0
17,5,0,0.8243801652892562,0
18,11,0,0.8243801652892562,0
19,7,0,0.8243801652892562,0
0,27,1,1.0,1
1,18,0,1.0,1
2,18,0,1.0,1
3,21,0,1.0,1
4,13,1,0.9523809523809523,1
5,12,0,0.9523809523809523,1
6,7,0,0.9523809523809523,1
7,8,0,0.9523809523809523,1
8,11,1,0.8333333333333333,1
9,7,0,0.8333333333333333,1
10,10,0,0.8333333333333333,1
11,8,0,0.8333333333333333,1
12,9,0,0.8333333333333333,1
13,6,0,0.8333333333333333,1
14,6,1,0.6944444444444444,1
15,6,0,0.6944444444444444,1
16,5,0,0.6944444444444444,1
17,9,0,0.6944444444444444,1
18,6,0,0.6944444444444444,1
19,8,0,0.6944444444444444,1
0,26,0,1.0,2
1,22,0,1.0,2
2,19,0,1.0,2
3,14,0,1.0,2
4,16,0,1.0,2
5,16,0,1.0,2
6,12,0,1.0,2
7,12,3,0.75,2
8,9,0,0.75,2
9,8,0,0.75,2
10,7,0,0.75,2
11,6,0,0.75,2
12,6,0,0.75,2
13,8,0,0.75,2
14,5,0,0.75,2
15,6,0,0.75,2
16,4,0,0.75,2
17,8,0,0.75,2
18,5,0,0.75,2
19,7,0,0.75,2
